FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
M11081715	M11081715	-0.0495202	-0.064532	-0.00688352	0.00201489	0.000377076	-0.0344368	-0.0482545	0.0191911	-0.0343643	-0.0289708
M11082404	M11082404	-0.0494025	-0.0399755	-0.00237861	-0.00855871	0.0053788	-0.0085922	-0.00724158	0.0238282	0.0434052	0.00279594
M11072003	M11072003	-0.0473146	-0.0549522	-0.0213387	-0.00798074	-0.00495256	-0.0228064	-0.0117886	0.0142918	0.0049473	0.0363766
M11082402	M11082402	-0.0482886	-0.0469585	-0.010152	-0.00751331	-0.0332759	-0.0208773	0.016821	0.037741	-0.0376246	-0.00391768
M11072316	M11072316	-0.0502564	-0.0510716	-0.00310034	-0.0125903	0.0153579	-0.00877495	-0.0200024	-0.000100747	-0.0020478	0.00825845
M11070609	M11070609	-0.0486173	-0.0447996	-0.00511755	-0.0101738	0.00846731	0.0167443	-0.0223698	0.0049871	0.013174	0.00105615
M11072302	M11072302	-0.0472582	-0.0574632	-0.000128324	-0.0358401	-0.0117841	-0.0930147	-0.029245	-0.0605812	0.181507	-0.022805
M11072705	M11072705	-0.0508641	-0.0685985	-0.00209067	0.00691655	0.00388467	0.0141527	-0.0350811	-0.0160951	0.00148259	-0.0393167
M11060201	M11060201	-0.0497123	-0.0704842	-0.00729425	0.00132387	-0.021799	0.013108	-0.015131	-0.0207291	-0.0167528	0.0258891
M11062902	M11062902	-0.0516054	-0.0579819	-0.0192929	-0.00103295	0.0228534	-0.0139866	0.0102965	0.0287725	0.00380588	0.00773941
M11072710	M11072710	-0.0505668	-0.060815	0.000418636	-0.0165582	0.0381909	0.00500773	-0.0491279	-0.0132909	0.141399	-0.0224186
M11072004	M11072004	-0.0509725	-0.0610579	-0.00862295	-0.0130096	0.0162151	-0.0765798	-0.039738	-0.0734767	0.181633	-0.0188584
M11072320	M11072320	-0.049939	-0.0444151	-0.0107062	-0.0160376	-0.0247877	-0.0213533	-0.0156975	0.044407	-0.0234812	0.0290591
M11070606	M11070606	-0.0497061	-0.0650976	0.00422235	-0.0133195	0.0128351	0.043404	-0.0352186	-0.0273225	0.0439371	-0.0352436
M11071308	M11071308	-0.0490618	-0.0635859	-0.000847708	0.00155902	-0.0111498	-0.0256587	-0.00239132	0.0167578	-0.0108903	-0.00716328
M11081312	M11081312	-0.0511516	-0.0663213	-0.00482716	-0.0172998	0.00127616	-0.00739927	0.0057602	-0.0225888	-0.0523232	-0.0237433
M11072311	M11072311	-0.0518318	-0.0629374	-0.0153712	-0.00695142	0.0167515	0.0144199	-0.0315752	-0.00776012	-0.0604103	0.0277343
M11082018	M11082018	-0.0511323	-0.0421527	0.0123373	0.00540748	-0.00222948	-0.0262165	-0.0133391	0.0124815	-0.0407742	0.0302929
M11081316	M11081316	-0.0486065	-0.0546064	9.20152e-05	-0.0125483	-0.029134	0.0472071	-0.0236198	-0.00284315	0.00994691	0.0112746
M11072006	M11072006	-0.0522826	-0.0602733	0.00718221	0.0157447	-0.011113	0.000159945	0.0325677	-0.00742453	-0.0561136	-0.00913692
