FID	IID	ethnic_group
M11081715	M11081715	Chinese
M11082404	M11082404	Chinese
M11081701	M11081701	Chinese
M11072003	M11072003	Chinese
M11082402	M11082402	Chinese
M11072316	M11072316	Chinese
M11070609	M11070609	Chinese
M11072302	M11072302	Chinese
M11072705	M11072705	Chinese
M11060201	M11060201	Chinese
M11062902	M11062902	Chinese
M11062903	M11062903	Chinese
M11072710	M11072710	Chinese
M11072004	M11072004	Chinese
M11072320	M11072320	Chinese
M11070606	M11070606	Chinese
M11071308	M11071308	Chinese
M11081312	M11081312	Chinese
M11072311	M11072311	Chinese
M11082018	M11082018	Chinese
M11081316	M11081316	Chinese
M11072006	M11072006	Chinese
M11072706	M11072706	Chinese
M11073005	M11073005	Chinese
M11060206	M11060206	Chinese
M11062904	M11062904	Chinese
M11070607	M11070607	Chinese
M11081704	M11081704	Chinese
M11081706	M11081706	Chinese
M11071310	M11071310	Chinese
M11071301	M11071301	Chinese
M11061605	M11061605	Chinese
M11072011	M11072011	Chinese
M11081304	M11081304	Chinese
M11080306	M11080306	Chinese
M11073011	M11073011	Chinese
M11072708	M11072708	Chinese
M11072703	M11072703	Chinese
M11061603	M11061603	Chinese
M11072002	M11072002	Chinese
M11081702	M11081702	Chinese
M11080302	M11080302	Chinese
M11070605	M11070605	Chinese
M11082004	M11082004	Chinese
M11071303	M11071303	Chinese
M11070604	M11070604	Chinese
M11072009	M11072009	Chinese
M11073010	M11073010	Chinese
M11071305	M11071305	Chinese
M11073009	M11073009	Chinese
M11082409	M11082409	Chinese
M11080301	M11080301	Chinese
M11082401	M11082401	Chinese
M11062906	M11062906	Chinese
M11082019	M11082019	Chinese
M11080303	M11080303	Chinese
M11082007	M11082007	Chinese
M11081708	M11081708	Chinese
M11062204	M11062204	Chinese
M11071309	M11071309	Chinese
M11072008	M11072008	Chinese
M11081311	M11081311	Chinese
M11073016	M11073016	Chinese
M11072312	M11072312	Chinese
M11082011	M11082011	Chinese
M11062901	M11062901	Chinese
M11081703	M11081703	Chinese
M11062907	M11062907	Chinese
M11082009	M11082009	Chinese
M11072005	M11072005	Chinese
M11073014	M11073014	Chinese
M11071304	M11071304	Chinese
M11080304	M11080304	Chinese
M11073012	M11073012	Chinese
M11072702	M11072702	Chinese
M11081710	M11081710	Chinese
M11082403	M11082403	Chinese
M11081305	M11081305	Chinese
M11081714	M11081714	Chinese
M11073008	M11073008	Chinese
M11082006	M11082006	Chinese
M11082405	M11082405	Chinese
M11082003	M11082003	Chinese
M11080305	M11080305	Chinese
M11073018	M11073018	Chinese
M11081705	M11081705	Chinese
M11073001	M11073001	Chinese
M11071307	M11071307	Chinese
M11073006	M11073006	Chinese
M11082406	M11082406	Chinese
M11082017	M11082017	Chinese
M11082021	M11082021	Chinese
M11072306	M11072306	Chinese
M11072707	M11072707	Chinese
M11070603	M11070603	Chinese
M11082410	M11082410	Chinese
M11081713	M11081713	Chinese
M11081303	M11081303	Chinese
M11061608	M11061608	Chinese
M11062911	M11062911	Chinese
M11082014	M11082014	Chinese
M11081712	M11081712	Chinese
M11072709	M11072709	Chinese
M11052805	M11052805	Chinese
M11082016	M11082016	Chinese
M11082012	M11082012	Chinese
M11082008	M11082008	Chinese
M11072317	M11072317	Chinese
M11082013	M11082013	Chinese
M11073017	M11073017	Chinese
M11082407	M11082407	Chinese
M11073015	M11073015	Chinese
M11060903	M11060903	Chinese
M11082010	M11082010	Chinese
M11073003	M11073003	Chinese
M11082001	M11082001	Chinese
M11073007	M11073007	Chinese
M11072309	M11072309	Chinese
M11081711	M11081711	Chinese
M11060203	M11060203	Chinese
M11071302	M11071302	Chinese
M11081306	M11081306	Chinese
M11051101	M11051101	Malay
M11050404	M11050404	Malay
M11051105	M11051105	Malay
M11051901	M11051901	Malay
M11052507	M11052507	Malay
M11050514	M11050514	Malay
M11060202	M11060202	Malay
M11051113	M11051113	Malay
M11062914	M11062914	Malay
M11052505	M11052505	Malay
M11051801	M11051801	Malay
M11050413	M11050413	Malay
M11050407	M11050407	Malay
M11051805	M11051805	Malay
M11051907	M11051907	Malay
M11060904	M11060904	Malay
M11050411	M11050411	Malay
M11050510	M11050510	Malay
M11051203	M11051203	Malay
M11051911	M11051911	Malay
M11062504	M11062504	Malay
M11051103	M11051103	Malay
M11051904	M11051904	Malay
M11051108	M11051108	Malay
M11060908	M11060908	Malay
M11051204	M11051204	Malay
M11050503	M11050503	Malay
M11050402	M11050402	Malay
M11051102	M11051102	Malay
M11051114	M11051114	Malay
M11072711	M11072711	Malay
M11052808	M11052808	Malay
M11051207	M11051207	Malay
M11050506	M11050506	Malay
M11051110	M11051110	Malay
M11050405	M11050405	Malay
M11052812	M11052812	Malay
M11050512	M11050512	Malay
M11061602	M11061602	Malay
M11052806	M11052806	Malay
M11051804	M11051804	Malay
M11060915	M11060915	Malay
M11050513	M11050513	Malay
M11051802	M11051802	Malay
M11062215	M11062215	Malay
M11050409	M11050409	Malay
M11072704	M11072704	Malay
M11061609	M11061609	Malay
M11072315	M11072315	Malay
M11052508	M11052508	Malay
M11050502	M11050502	Malay
M11050401	M11050401	Malay
M11052503	M11052503	Malay
M11051109	M11051109	Malay
M11052504	M11052504	Malay
M11051112	M11051112	Malay
M11072308	M11072308	Malay
M11052502	M11052502	Malay
M11052509	M11052509	Malay
M11050414	M11050414	Malay
M11050515	M11050515	Malay
M11052814	M11052814	Malay
M11051905	M11051905	Malay
M11052811	M11052811	Malay
M11051910	M11051910	Malay
M11050511	M11050511	Malay
M11052813	M11052813	Malay
M11051902	M11051902	Malay
M11050408	M11050408	Malay
M11061504	M11061504	Malay
M11051205	M11051205	Malay
M11051906	M11051906	Malay
M11062506	M11062506	Malay
M11060913	M11060913	Malay
M11051908	M11051908	Malay
M11051206	M11051206	Malay
M11051807	M11051807	Malay
M11050509	M11050509	Malay
M11052801	M11052801	Malay
M11072305	M11072305	Malay
M11062511	M11062511	Malay
M11062908	M11062908	Malay
M11050416	M11050416	Malay
M11062524	M11062524	Malay
M11050507	M11050507	Malay
M11050508	M11050508	Malay
M11050501	M11050501	Malay
M11051806	M11051806	Malay
M11051201	M11051201	Malay
M11051202	M11051202	Malay
M11060103	M11060103	Malay
M11061601	M11061601	Malay
